domain,L,metric,kind,covar,covar_label,rho,p,n
wolf2,1,WTD,persistent,baseline_WTD,Baseline WTD,0.5828848656826562,1.2690460065622721e-139,1426
wolf2,1,WTD,persistent,local_recharge_base,Local recharge (base),0.016742829306819328,0.5276199938243197,1426
wolf2,1,WTD,persistent,PME_static,Static PME,0.06576431121550455,0.012977311553998068,1426
wolf2,1,WTD,persistent,porosity_col,Porosity (col.),0.055313687161140414,0.03673365222167167,1426
wolf2,1,WTD,persistent,log10_K_col,log₁₀ K (col.),-0.01572397356882931,0.5530478530074556,1426
wolf2,1,WTD,persistent,log10_K_top,log₁₀ K (top),-0.16049448029800376,1.0146900025770828e-09,1426
wolf2,1,WTD,persistent,flowbarrier_min,Flow barrier (min),-0.14854606162593426,1.6486977853452216e-08,1426
wolf2,1,WTD,persistent,sand_frac,Sand fraction,-0.021085535632297873,0.42679870917185364,1423
wolf2,1,WTD,persistent,clay_frac,Clay fraction,0.13055579682108537,7.499505375538156e-07,1423
wolf2,1,WTD,persistent,mannings,Mannings,0.0006377775130409746,0.9808058060735897,1426
wolf2,3,storage,temporary,dist_to_stream,Dist. to stream,0.13647780097512976,2.3446959822562933e-07,1420
wolf2,3,storage,temporary,HAND,HAND,-0.28597457122157854,1.6827828984967398e-28,1420
wolf2,3,storage,temporary,rel_elev,Rel. elevation,0.001934015281138921,0.9419634049436185,1420
wolf2,3,storage,temporary,slope_mag,Slope,0.15043451258405358,1.076643978612134e-08,1426
wolf2,3,storage,temporary,baseline_WTD,Baseline WTD,0.011852705799513738,0.6547763797564223,1426
wolf2,3,storage,temporary,local_recharge_base,Local recharge (base),-0.43390881102304735,8.485852666007302e-69,1426
wolf2,3,storage,temporary,PME_static,Static PME,0.24140666699117905,1.5449091597796917e-20,1426
wolf2,3,storage,temporary,porosity_col,Porosity (col.),0.3639290013138613,6.181551144473324e-47,1426
wolf2,3,storage,temporary,log10_K_col,log₁₀ K (col.),0.07718871241128954,0.0035277258614873634,1426
wolf2,3,storage,temporary,log10_K_top,log₁₀ K (top),-0.25450924340388514,9.559174504529137e-23,1426
wolf2,3,storage,temporary,flowbarrier_min,Flow barrier (min),-0.1365791695438689,2.1655984961389415e-07,1426
wolf2,3,storage,temporary,sand_frac,Sand fraction,0.08739815082548293,0.0009605324516812235,1423
